bug_id,data_abertura,data_fechamento,severidade,status,sistema,sprint,responsavel,tempo_correcao,prioridade,prioridade_num,ambiente,tipo_bug,reincidente
1,2025-08-25,2025-08-28,Baixa,Fechado,Pagamento,Sprint 4,Ana,82,Baixa,1,Produção,API,Sim
2,2024-07-11,2024-07-14,Baixa,Aberto,Login,Sprint 4,Ana,76,Média,2,Produção,API,Sim
3,2025-10-03,2025-10-06,Crítica,Aberto,API Clientes,Sprint 10,Fernanda,92,Alta,3,Produção,Frontend,Não
4,2024-12-10,2024-12-11,Média,Aberto,Dashboard,Sprint 2,Carlos,44,Média,2,Homologação,Frontend,Não
5,2025-11-07,2025-11-11,Alta,Aberto,Mobile App,Sprint 8,Marcos,109,Média,2,Produção,Backend,Sim
6,2024-12-31,2025-01-02,Alta,Aberto,Mobile App,Sprint 2,Carlos,71,Média,2,Produção,Backend,Sim
7,2026-02-07,2026-02-11,Baixa,Fechado,Dashboard,Sprint 8,Juliana,110,Baixa,1,Homologação,Frontend,Não
8,2026-01-22,2026-01-23,Alta,Aberto,Relatórios,Sprint 11,Ana,46,Baixa,1,Produção,Frontend,Não
9,2025-05-18,2025-05-20,Média,Fechado,Login,Sprint 4,Rafael,49,Média,2,Produção,Backend,Não
10,2025-03-01,2025-03-02,Média,Fechado,Pagamento,Sprint 11,João,35,Baixa,1,Homologação,API,Não
11,2025-03-07,2025-03-07,Média,Aberto,Mobile App,Sprint 9,Marcos,19,Média,2,Homologação,API,Não
12,2025-09-01,2025-09-05,Crítica,Fechado,Pagamento,Sprint 3,Marcos,115,Alta,3,Homologação,Frontend,Sim
13,2024-12-23,2024-12-27,Média,Aberto,Mobile App,Sprint 7,Marcos,111,Baixa,1,Produção,Backend,Não
14,2026-01-23,2026-01-26,Alta,Aberto,Mobile App,Sprint 12,Carlos,77,Média,2,Homologação,API,Não
15,2024-10-15,2024-10-15,Crítica,Aberto,API Clientes,Sprint 1,Juliana,15,Média,2,Homologação,API,Sim
16,2024-06-03,2024-06-05,Alta,Aberto,Pagamento,Sprint 6,Rafael,65,Baixa,1,Produção,API,Sim
17,2026-04-09,2026-04-12,Crítica,Aberto,Login,Sprint 6,Rafael,77,Média,2,Homologação,Frontend,Sim
18,2026-02-01,2026-02-02,Baixa,Aberto,Mobile App,Sprint 8,Rafael,31,Alta,3,Produção,API,Sim
19,2025-07-05,2025-07-05,Crítica,Aberto,Dashboard,Sprint 9,Rafael,17,Alta,3,Homologação,Frontend,Sim
20,2024-11-29,2024-12-02,Crítica,Fechado,API Clientes,Sprint 9,João,92,Média,2,Produção,Frontend,Sim
21,2024-09-18,2024-09-18,Baixa,Aberto,Relatórios,Sprint 4,Carlos,9,Média,2,Produção,API,Sim
22,2025-06-18,2025-06-19,Baixa,Fechado,Login,Sprint 9,Ana,30,Baixa,1,Homologação,API,Não
23,2025-08-28,2025-08-29,Média,Fechado,Pagamento,Sprint 8,Rafael,28,Alta,3,Homologação,Frontend,Sim
24,2025-05-05,2025-05-05,Crítica,Fechado,API Clientes,Sprint 7,João,13,Alta,3,Produção,API,Sim
25,2025-06-22,2025-06-22,Alta,Aberto,Pagamento,Sprint 4,Ana,8,Média,2,Homologação,Frontend,Não
26,2025-09-01,2025-09-02,Crítica,Aberto,Login,Sprint 8,Rafael,24,Média,2,Produção,Frontend,Sim
27,2025-06-11,2025-06-11,Média,Fechado,API Clientes,Sprint 8,Ana,12,Baixa,1,Homologação,Frontend,Sim
28,2024-12-01,2024-12-03,Crítica,Fechado,API Clientes,Sprint 5,João,49,Baixa,1,Homologação,Frontend,Sim
29,2025-08-15,2025-08-16,Baixa,Aberto,Mobile App,Sprint 6,Carlos,38,Baixa,1,Produção,API,Não
30,2025-02-20,2025-02-22,Média,Aberto,Relatórios,Sprint 2,Rafael,65,Alta,3,Produção,Frontend,Sim
31,2025-08-18,2025-08-21,Crítica,Aberto,Relatórios,Sprint 4,Marcos,87,Baixa,1,Produção,API,Sim
32,2025-11-09,2025-11-11,Alta,Fechado,Pagamento,Sprint 11,Juliana,54,Alta,3,Homologação,Frontend,Não
33,2025-07-26,2025-07-28,Alta,Fechado,Dashboard,Sprint 2,Carlos,51,Baixa,1,Homologação,API,Sim
34,2025-08-01,2025-08-01,Média,Fechado,Pagamento,Sprint 6,Carlos,10,Alta,3,Produção,Backend,Não
35,2026-05-05,2026-05-05,Alta,Aberto,Mobile App,Sprint 9,Fernanda,21,Média,2,Produção,Frontend,Não
36,2025-01-04,2025-01-04,Média,Fechado,Dashboard,Sprint 10,Ana,15,Baixa,1,Homologação,Frontend,Não
37,2024-07-30,2024-08-01,Alta,Aberto,Login,Sprint 11,João,65,Média,2,Homologação,Frontend,Sim
38,2025-01-24,2025-01-25,Alta,Aberto,Mobile App,Sprint 8,Marcos,43,Baixa,1,Homologação,API,Sim
39,2024-12-22,2024-12-22,Média,Aberto,Dashboard,Sprint 10,Marcos,15,Baixa,1,Produção,Backend,Sim
40,2026-03-09,2026-03-09,Alta,Aberto,Dashboard,Sprint 4,Juliana,6,Média,2,Produção,API,Sim
41,2025-07-24,2025-07-25,Crítica,Aberto,Pagamento,Sprint 3,Rafael,46,Alta,3,Produção,Backend,Sim
42,2025-04-04,2025-04-04,Alta,Fechado,Mobile App,Sprint 12,Rafael,23,Alta,3,Produção,Backend,Sim
43,2025-07-16,2025-07-20,Baixa,Fechado,Login,Sprint 8,Ana,101,Alta,3,Produção,Backend,Não
44,2024-10-08,2024-10-09,Média,Aberto,Mobile App,Sprint 4,João,40,Baixa,1,Homologação,Backend,Sim
45,2025-10-09,2025-10-13,Alta,Fechado,Mobile App,Sprint 9,Fernanda,99,Média,2,Produção,Frontend,Não
46,2024-06-13,2024-06-13,Alta,Aberto,Login,Sprint 10,João,23,Alta,3,Homologação,API,Não
47,2026-03-06,2026-03-08,Baixa,Fechado,Relatórios,Sprint 4,Fernanda,56,Alta,3,Produção,API,Não
48,2025-10-25,2025-10-25,Média,Fechado,API Clientes,Sprint 2,Juliana,1,Alta,3,Homologação,API,Não
